createdAt,mode,objectId,percent,time,updatedAt
2015-09-25T09:35:23.676Z,Charging,Z9HNNbruDA,0.3,68,2015-09-25T09:35:23.676Z
2015-09-25T00:11:36.584Z,Unplugged,ZKyA2xO8zZ,0.71,32,2015-09-25T00:11:36.584Z
2015-09-25T11:11:03.415Z,Charging,ZX1AMziakf,0.97,2.5,2015-09-25T11:11:03.415Z
2015-09-25T00:06:37.046Z,Unplugged,aM7xdfRLyF,0.78,27,2015-09-25T00:06:37.046Z
2015-09-25T00:37:37.293Z,Unplugged,amLIkAZk8G,0.4,58,2015-09-25T00:37:37.293Z
2015-09-25T00:38:37.145Z,Unplugged,asFXbPin8P,0.39,59,2015-09-25T00:38:37.145Z
2015-09-25T09:53:22.927Z,Charging,av36rbg4dT,0.52,86,2015-09-25T09:53:22.927Z
2015-09-25T00:41:06.361Z,Unplugged,b5xNnZroqe,0.37,61.5,2015-09-25T00:41:06.361Z
2015-09-24T23:48:07.479Z,Unplugged,bBiCEYVfpd,0.95,8.5,2015-09-24T23:48:07.479Z
2015-09-25T00:40:07.263Z,Unplugged,bH0oiskuRf,0.38,60.5,2015-09-25T00:40:07.263Z
2015-09-25T00:55:06.944Z,Unplugged,bd13R7nbes,0.25,75.5,2015-09-25T00:55:06.944Z
2015-09-25T09:35:53.458Z,Charging,bvLYSlMf8K,0.31,68.5,2015-09-25T09:35:53.458Z
2015-09-25T07:03:35.146Z,Unplugged,bwXHiGZVvx,0.37,20,2015-09-25T07:03:35.146Z
2015-09-25T00:52:37.389Z,Unplugged,cCxShcJ6gQ,0.26,73,2015-09-25T00:52:37.389Z
2015-09-25T09:08:30.593Z,Unplugged,cKrqqNOruE,0.18,54,2015-09-25T09:08:30.593Z
2015-09-25T03:34:00.296Z,Unplugged,cRhGdkXsmv,0.14,95,2015-09-25T03:34:00.296Z
2015-09-25T03:33:31.084Z,Unplugged,cYrt7FSvp0,0.14,94.5,2015-09-25T03:33:31.084Z
